Catégorie;Projet;Vote positif;Vote négatif;Description
La transition énergétique;062 - Rénover les immeubles anciens et faire des  économies d'énergie;162;9;"Il faudra accentuer les moyens de faire rénover les immeubles anciens et faire en sorte que les propriétaires investissent dans des travaux de mise aux normes les plus performantes en matière d'isolation.
Il faudra sans doute accentuer la lutte contre les espaces inoccupés. Trop d'immeubles ou parties d'immeubles sont vides (par exemple les étages des rez-de-chaussée commerciaux).
La réglementation n'incombe pas toujours au pouvoir communal, mais il faudra faire effectuer les adaptations nécessaire, si besoin, pour que des entreprises se développent dans le domaine de la rénovation et que les propriétaires soient en mesure d'y procéder."
Art, Culture, Patrimoine, Tourisme;083 - Rénover les serres du Jardin Botanique;302;2;Rénovation complète intérieur/extérieur et mise en valeur des serres du Jardin botanique. Rare sont les villes en Belgique à posséder des serres en plein centre ville. Et celle de Liège sont tristes à voir et ne sont visibles que si l'on est face à elles.
Des espaces verts, des espaces collectifs, des espaces apaisés;086 - Des façades embellies, radieuses;51;2;"Les façades des bâtiments qui bordent nos espaces publics sont de plus en plus fermées, bunkerisées, calfeutrées, grillagées, déconnectées du passant et de l’habitant. Elles ne participent plus tant à donner vie à l’espace public. Il arrive même parfois qu’elles aient un impact négatif à l’échelle d’un quartier dans lequel elles apparaissent!

L’idée c’est de lancer un concours urbanistique annuel ouvert à tous pour mettre en avant les façades ouvertes, accueillantes, souriantes*, les façades sociales ! Celles qui embellissent une rue, qui raniment un quartier, qui embellissent la ville.

Catégories prévues :
-	Bâtiment privé
-	Bâtiment professionnel
-	Bâtiment public

Les critères ne seraient pas seulement esthétiques mais prendraient en compte également des notions telles que la transparence, l’aspect nocturne, la présence de végétation, le mouvement, la réflexion de la lumière, l’accueil de biodiversité, la présence d’éléments décoratifs, les comportements induits, etc.

En espérant que le langage des façades et leur influence sur la vie dans notre cité puissent être conscientisés par le plus grand nombre.

A plus long terme, l’objectif serait de rédiger des recommandations urbanistiques pour que les façades qui créent l’espace public soient le plus souvent possible souriantes*, ouvertes, sans pour autant faire perdre à leurs habitants l’intimité attendue.

Des subsides publics pourraient aider les comités de quartier à embellir leurs façades via un appel à projets.

*L’adjectif « souriante » n’est pas à prendre au premier degré, j’en vois venir certains :)"
Des espaces verts, des espaces collectifs, des espaces apaisés;092 - Réaménagement du Mont Saint-Martin;66;1;Réaménagement complet du Mont Saint-Martin. C'est une artère magnifique bordée de magnifiques bâtiments. Malheureusement, c'est actuellement plus une autoroute qu'une belle avenue. Je trouve que cette artère est laissée complètement à l'abandon par la ville. Sauvons ce Mont  qui mérite beaucoup mieux!
Ville participative, Collaborative et Numérique;123 - Recenser les salles sur Liège;60;2;"Avez-vous déjà voulu organiser un événement : concert, cours de danse, stage sportif ... ? Si oui vous savez à quel point c'est difficile de trouver une salle. 

Pour ma part j'organise des stages de danses ou des soirées dansantes et il est très difficile de trouver des salles.

Pourtant la ville regorge de salles : des salles communales, des salles de danse, des salles pour banquets et mariages, des salles à l'arrière de café, etc.  

Malheureusement, actuellement il n'existe pas de répertoire / listing."
Des espaces verts, des espaces collectifs, des espaces apaisés;153 - Enterrer la circulation sur le quai de la Batte;79;5;Le quai de la Batte est en plein coeur historique.  Il faudrait profiter du passage du tram qui devrait enfin se réaliser et du réaménagement de l'îlot de la Cité administrative pour enterrer la circulation automobile (via l'ancien tunnel de métro devant le musée Curtius ?) pour enfin pouvoir disposer d'un bel espace de promenade le long de la Meuse, au calme et en plein centre-ville. Il y resterait le tram, les vélos, une digue pour la promenade et de l'espace pour enfin pouvoir accueillir des terrasses de cafés et restaurants (plein sud!) en bord de Meuse,  ce qui manque cruellement à Liège.  En fait, on rendrait les lettres de noblesse à ce  quai qui a longtemps existé sous cette configuration avant qu'il ne soit noyé sous le goudron et le CO2.   Cet aménagement profiterait au coeur historique (qui n'a pas beaucoup de terrasses à part la place du Marché) et à tout le quartier Grand Léopold qui redémarre lentement grâce aux efforts de la ville.  Il donnerait une meilleure image de ce quartier et de la ville, comme le réaménagement récent des quais de Rome et Orban, qu'il faut à tout prix étendre.
La mobilité;157 - Ouvrir le sentier des Bégards;169;0;Rendez aux habitants la possibilité de se rendre du boulevard de la Sauvenière à la basilique Saint-Martin de Liège en passant par le sentier des Bégards, du moins pendant la journée. Les horaires d'ouverture pourraient coincider avec les heures de lever et de coucher du soleil, ou comme au jardin des Minimes. Un emploi de type 'gardien d'espace vert' pourrait être créé pour assurer l'entretien et la propreté de cet espace.
La mobilité;192 - Créer des autoroutes de mobilité douce;136;8;"Créer des autoroutes de mobilité douce pour connecter les quartiers liégeois

La mobilité douce, principalement cyclable, connait de forts développement dans la plupart des grandes villes d’Europe, et l'arrivée des vélos électriques renforce cette tendance. Liège est peu et mal équipée en infrastructures favorisant les modes de mobilité douce: le principal axe se trouve le long de la Meuse, avec de nombreuses portions du RAVel trop étroites et inconfortables. Or, la ville pourrait, à peu de frais, transformer certaines rues dédiées aux voitures en lares voies pour les piétons, coureurs, cyclistes, etc. L'idée serait de connecter entre eux, et avec le centre, les différents quartiers de Liège: Laveu-Cointe, Saint-Léonard et Coronmeuse, Angleur, Chênée, Grivegnée, Bressoux, Jupille, etc. De tels axes sécurisés encourageraient une mobilité non-polluante, moins bruyante, plus conviviale, et souvent aussi rapide que les déplacements en voiture sur des courtes distances."
La transition énergétique;223 - Des bus électriques;392;1;"C'est une priorité. Des centaines de bus arpentent les rues de Liège tous les jours et presque 24/24h. Tous ces bus sont des Diesel et consomment plus de 20L/100km!

Avant d'imposer aux liégeois une quelconque décision les obligeant à changer de véhicule ou de ne plus pouvoir emprunter l'hyper centre en voiture, commençons par ... Le commencement.  

Les transports en commun ""propre"""
Inclusion sociale;234 - Des chambres individuelles pour les sans-abris;96;13;C'est un crève-cœur d'arpenter les rues du Centre- Ville en croisant nombre de personnes faisant la manche. Actuellement l'hébergement est collectif et ne permet ni sécurité, ni intimité. Ne serait-il pas temps de prendre soin des plus fragiles d'entre nous en leur proposant des chambres individuelles ( et un lieu où laisser leur animal), tout en leur offrant un accompagnement psychologique pour reprendre pied ?
La mobilité;279 - Des arrets de bus hors voirie;52;35;"Beaucoup d'arrêts de bus sont situés à même la rue , au beau milleu de la voie de circulation !

Ça bloque le flux et crée des embouteillages et des zones accidentogenes . 


Les arrêts de bus devraient tous être prévus dans un espace hors circulation.

Question  de logique en matière de sécurité routière !"
Inclassables;300 - Des projets réalistes;15;61;Beaucoup de projets postés sur la plateforme sont écologiques.  Mais ne transformons quand même pas Liège en village piéton de type moyenâgeux.   Sinon on reverra vite des charrues et des boeufs livrer nos commerces
La mobilité;306 - A pied, à cheval, à vélo : la Ferme en Ville;113;19;"Ou est passée cette initiative qui fut jadis un grand succès auprès des liégeois ?  Un week-end sans voiture qui offrait au liegeois et autres touristes un petit coin de campagne en ville. Pas de voitures, des barbecues, des métiers équestres, des fermes éphémères, etc. 

Un beau projet tombé à l'eau pour on ne sait quelle raison. (Politique surement)"
Art, Culture, Patrimoine, Tourisme;307 - Création d’un pass touristique;148;1;"La création d’un « pass touristique » permettrait de facilité la vie des touristes en leurs proposant l’accès illimité à tous les musées de la ville et aux transports en commun pendant une durée déterminée.

Elle permettrait également de bénéficier de réductions dans les commerces et restaurants.

Concrètement, ce « pass » se présenterait sous la forme d’une carte du même format qu’une carte bancaire. Elle serait à la fois une carte MOBIB qui permettrait l’accès au réseau du TEC/SNCB et un ticket d’entrée aux musées.

Il existerait plusieurs « forfaits » : 24, 48 ou 72 heures.

Ce pass serait disponible à la vente à l’office du tourisme et dans différents lieux stratégiques tel que la gare des Guillemins.

De nombreuses villes européennes proposent déjà un tel système : Lyon, Valencia, Eindhoven, etc."
La végétalisation et l'agriculture urbaine;331 - Création d'un potager bio pédagogique;96;4;"Création d'un potager bio pédagogique d'une superficie de 800 m², à cultiver coopérativement, géré de manière démocratique et écologique (sans utilisation de produits pétroliers). Le temps consacré au travail dans le potager sera troqué sur base d'une monnaie d'échange pour s'offrir les légumes récoltés. 
Afin de donner les bases d'un mode de culture éco-bio, chaque participant recevra une formation hebdomadaire gratuite de 3 heures (34 semaines). 
Le but est de permettre à chaque participant et à son entourage de pouvoir créer, par la suite,  un espace potager chez soi  et s'negager dans  un mode de vie sain et éco-responsable."
Ville participative, Collaborative et Numérique;349 - Outils de Transparence Communal;46;2;"En cette période troublée par les « affaires », la perte de confiance des citoyens envers ses dirigeants (et les institutions en général) et le désintérêt des citoyens pour la « chose publique » est un réel problème démocratique.

Il est peut-être temps de (re)créer le lien avec les citoyens.  

Selon moi, un bon point de départ serait que la ville fasse preuve de transparence quant à son fonctionnement, son activité et les résultats concrets de son action.

Pour ce faire, je n’ai pas réinventé la roue et me suis grandement inspiré des initiatives de « Faire Montréal » que je trouve très inspirante et dans la bonne direction.

A savoir, que la Ville mette en place un outil en ligne pour permettre aux citoyens d’accéder plus facilement : 

1° aux renseignements financiers liés au budget communal et à sa réalisation  transparence en ce qui concerne l’utilisation de l’argent des contribuables par l’administration publique municipale

2° à l’information sur les contrats octroyés par la Ville  transparence en ce qui concerne l’octroi de contrats par la Ville

3° aux données liées à la sécurité publique (interventions d'urgence, données sur la criminalité, incendies, données sur la salubrité, etc.)  transparence des activités de sécurité publique"
La mobilité;361 - Sensibiliser les piétons aux dangers de la route;37;24;"C'est pour montrer l'importance du danger de la route :c'est sensibiliser de façon numérique et moderne avec nos technologies contemporaines.
Il faut déplacer ces panneaux surprises : pas toujours aux mêmes endroits : pour surprendre  à l'improvistes  des piétonniers en danger  . voir creapills"
Inclassables;365 - Piste d'aterrissage pour Ovni;44;52;"Soyons les premiers à les accueillir! 

Liege serait leur premier contact avec les hommes et en ferait une ville intergalactiquement connue! 

Quel beau tremplin pour le tourisme."
Inclusion sociale;394 - Encadrer la toxicomanie;212;7;Gérer le nombre de toxicomanes qui se piquent en pleine journée devant les passants et squattent les devants des habitations/commerces la nuit en y laissant seringues et excréments. Certaines rues du centre font peur même en pleine journée, ne parlons pas de si vous devez traverser la ville une fois le soleil couché. En plus de cela, ça reste des êtres humains devant qui on se voit passer impuissant.
Art, Culture, Patrimoine, Tourisme;414 - Des artistes de rue;71;8;"Le samedi ou a d autres moments de la semaine,   attirer les artistes de rue (caricaturiste, musiciens, ou autres artisans de rue etc) afin de reanimer le centre ville. 
On peut les attirer via des primes ou via des facilités (emplacements, stands, electricite, publicité de l action).  Cela ramenerait peut etre du monde a liege, et apporterait de la gaité"
La végétalisation et l'agriculture urbaine;420 - Marché de nuit;42;18;Ville de Liège doit être une ville touristique , Les habitants des villes et des villages doivent faire du shopping dans la nuit ou même la randonnée la nuit, aussi bien que s'il y a un marché de nuit et une qualité unique attirera les touristes à l'ouvrier de la ville, le marché doit être ouvert et fermé automatiquement en cas de fluctuations météorologiques différentes , et il aide également les gens à visiter le marché périodiquement , Nous pouvons tirer parti de la réussite du marché Boqueria à Barcelone...
Art, Culture, Patrimoine, Tourisme;421 - Musée de science spatiale;76;4;"Réaménager l'observatoire de Cointe en bibliothèque et ou en musée de Science Spatiale .

Garder le patrimoine de l'architecture . 
Faire venir des étudiants de la spécialisation des études spatiales dans ce bâtiment qui était utilisé à l'autrefois des pièces de l'observatoire .
Tout est  possible aussi faire des activités ludiques pour des jeunes pour comprendre en qui consiste ""l'observatoire à regarder la planète ,les étoiles , ....ect "" .
Comment conserver notre planète , voir la vue de notre Terre, l'évolution de la Terre  ...ect ?"
Inclusion sociale;471 - Occupation des logements inoccupés;243;8;"De nombreux logements sont inoccupés ; certains sont insalubres. Il faudrait une taxation effective de ces logements inoccupés ou une obligation de les louer via une agence immobilière sociale ;  une obligation à remettre en état les logements insalubres ou obligation à vendre à bas prix à la Ville pour la réhabilitation de ces logements et la transformation en logements sociaux."
Ville participative, Collaborative et Numérique;480 - Une compétition d'avirons;40;2;"Une belle compétition annuelle d'avirons comme l'Oxbridge (Oxford/Cambridge) entre les universités de Maastricht, Aix-la-Chapelle, Hasselt et Liège.
Un rendez-vous annuel avec les supporters de ces universités le long du fleuve."
Art, Culture, Patrimoine, Tourisme;490 - Créations étudiantes pour animer l'espace public;80;3;"L'idée c'est de donner l'opportunité aux étudiants des FAC d'architecture, de design, d'art, d'investir régulièrement l'espace public par le biais de projets collectifs éphémères. Installations, micro-architecture, oeuvres d'art qui se prêtent librement à l'exploration du public

Pour plus de culture exprimée dans l'espace public.

Pour participer au développement de nouveaux types d'espaces publics et d'interactions possibles en rue, pour sensibiliser le citadin à l'architecture contemporaine, au matériau bois dans la ville, à l'esthétique, à l'artisanat, au réemploi, etc.

Pour donner à voir le fruit de leur réflexion, pour favoriser l'échange avec le public, ...

Vous rappelez-vous des phares en bois sur les berges de la Meuse au parc de la Boverie (1997), vous souvenez-vous des folies / structures en bois boulevard Saucy (2001) ?

La ville est un laboratoire, donnons l'occasion à nos jeunes d'exprimer leur créativité dans l'espace public, durant leurs études. Sortons leurs idées de leurs classes de cours.

Des collaborations pourraient être envisagées avec les ressourceriez de manière à utiliser un maximum d'objets et de matériaux de récup.

Une seconde vie pourrait être offerte à ces projets via l'acquisition par des assocs, gratuitement."
Ville participative, Collaborative et Numérique;507 - Une plateforme d'échanges de services;60;2;"ATELIER CITOYENS Saint-Gilles/Laveu (25 avril)

Création d'une plateforme qui met en relation les offres et les demandes de services (petits travaux, traduction, etc.). Cette plateforme serait un outil d’échange, ainsi chacun devrait donner pour recevoir."
Ville participative, Collaborative et Numérique;545 - Rendre accessibles les comptes;75;6;"Rendre accessibles les comptes de la Ville en format Excel

Afin de faciliter la lecture et l'exploitation des documents relatifs aux budgets, comptes et bilan de la Ville, celle-ci devrait fournir les versions Excel."
Des espaces verts, des espaces collectifs, des espaces apaisés;549 - Réaffectation du site Cockerill;40;2;"Réappropriation  du site de Cockerill par la ville pour une réhabiliatation en 

- musée sur l'histoire industrielle qui revient sur les innovations techniques de l'époque en lien avec les modifications sociales (avec la participation de l'Ulg pour un projet de muséologie interactif MODERNE)

- ET création d'ateliers mis en location (à des tarifs ATTRACTIFS) pour des artisans, artistes, jeunes entrepreneurs et créateurs. 

Le reste du site pouvant être réhabilité en  parcs ( skate parc, plaine de jeu, verger, terrain multisport externe) et logement.

L'idée est de mettre en avant les atouts de la ville qui a su traverser les époques. 
Liège a un passé médiéval, industriel et une énergie révolutionnaire... Bref tous les atouts pour faire de la ville une référence culturelle qui s'inscrit dans le temps.

Faire en sorte que ces hauts fourneaux qui ont été une source de fierté et auxquels nous sommes tous attachés une source de création d'avenir plutôt que de le laisser se dégrader jusqu'à ce qu'on finisse par tout raser. 

L'idée est de soumettre l'aspect de réalisation technique aux différentes écoles et hautes écoles de la ville et à l'Ulg. Cela pourrait faire l'objet de travaux de fin d'année avec proposition d'embauche à la clef pour les projets validés."
Des espaces verts, des espaces collectifs, des espaces apaisés;557 - Une plaine de jeux place saint étienne;40;8;"Installation d'une aire de jeux pour les enfant et parents dans le centre ville serait vraiment  une bonne chose

La place saint Étienne pour être un lieu idéale  sans voiture et assez grande..."
Art, Culture, Patrimoine, Tourisme;567 - Des livres en service libre dans la ville;69;10;"Les jeunes et moins jeunes ne se rendent plus beaucoup à la bibliothèque et pourtant, lorsqu'on dépose un livre devant un adolescent, il se met à le feuilleter.
Aux détours de mes voyages, j'ai vu la bibliothèque communale installer des chaises longues et partager des livres avec les utilisateurs.  Pas de lecture? Pas de chaise longue.
Elles étaient toutes occupées par des lecteurs de tous âges.

Ce serait un partenariat sympathique à mettre sur pied en été avec la bibliothèque provinciale des Chiroux."
Inclassables;581 - L'Île Monsin : nouveau quartier d'affaire de Liège (d'Europe ?);133;17;"A l'image du quartier d'affaire de Canary Warf à Londres, L'Île Monsin possède tout le potentiel pour accueillir un nouvel écoquartier ultra moderne dont l'architecture serait constituée de gratte-ciels encrés au milieu de l'eau.
Plusieurs raisons à cette transformation :
- Le déclin de l'industrie et la réorientation vers de nouvelles entreprises orientées technologies, services, finance, ...
- Le besoin de transformer entièrement le paysage de l'Île Monsin, un avantage certain pour le développement des communes de Herstal et Jupille.
- Concentrer l'architecture de type gratte-ciel en un même lieu permettra de ne pas défigurer la ville de Liège, la tour des Finances devra rester le seul point de repère en ville, démonstration de cette architecture moderne. Un quartier moderne tel que celui de la Défense à Paris est un véritable nouveau souffle dans le développement et l'économie d'une ville.
- Le Brexit, le manque de terrain à Bruxelles ainsi que la situation géographique de Liège, en font, à l’instar de Strasbourg, une ville privilégiée de connexion et de redéveloppement des entreprises en Europe.
- L'Île Monsin est idéalement située pour une future connexion avec le nouveau Tram de Liège."
Ville participative, Collaborative et Numérique;587 - Pour savoir à quel arrêt de bus il faut descendre ...;52;2;"Créer une nouvelle appli TEC ( ou un complément à celle qui existe déjà ) qui permetrait ( par le positionnement GPS) de suivre le parcours du bus dans lequel on se trouve et d'indiquer à quel moment ""appuyer sur la demande d'arrêt"" pour sortir au bon endroit . Trop de bus sont soit équipés du système sensé nous renseigner mais qui est éteint ( parcequ'en panne je suppose) ou n'en sont pas du tout équipés (fort nombreux). Pauvres visiteurs étrangers ...."
Ville participative, Collaborative et Numérique;603- Aide informatique  à domicile, sur PC personnel .;2;2;"Notre société fait de plus en plus appel aux services informatisés et une partie de la génération actuelle des >60 ans a du mal à s'adapter .
Les cours -multiples d'initiation , très utiles, restent  souvent trop généraux, et la personne n'arrive pas à se débrouiller seule de retour à la maison.
Nous proposons de développer une aide personnalisée/à la carte - initiation basique et résolution de problèmes ,  en fonction des besoins réels de chacun. Cette aide serait apportée à la maison, sur le matériel informatique utilisé quotidiennement par la personne.
Ceci pourrait être un service centralisé par la Ville, complété par des volontaires dans chaque quartier.
Cette approche encouragerait beaucoup de seniors à se ""lancer "" et faciliterait le développement de plateformes multiples (mobilité,service ,aides ...).
Sensibiliser les >60 ans à l'informatique devient une priorité au vu de la vitesse de développement du numérique au quotidien."
Art, Culture, Patrimoine, Tourisme;611- Mise en valeur du Patrimoine - quartier Avroy;39;2;"Plusieurs demeures anciennes devraient être restaurées pour mettre notre quartier en valeur : bâtiments du 19e siècle sur les boulevards, réaffectation de la petite maison 18e siècle en face de Saint -Jacques complètement à l'abandon (près de la maison des jeunes), mise en valeur de la maison Renaissance place Émile Dupont,  accessibilité à Saint Jacques, côté narthex occidental,  visite de sa crypte orientale... 
Ces restaurations devraient être accompagnées d'un ""relooking"" de la place Saint-Jacques.
L'objectif est de rendre  la noblesse initiale à ce quartier brillant au 19e  siècle."
Inclassables;665- Encore quelques idées en vrac ...;18;7;"Aménager un passage protégé pour piétons , ou une passerelle , au-dessus du boulevard de Froidmont , à l'entrée du zoning commercial  ( par exemple , en face de  "" Buro- Market ""  ;   de même , sur le quai des Ardennes  , p.ex. à hauteur de la rue de Londres (  cela pourrait se réaliser par un simple escalier descendant de la passerelle du chemin de fer vers le terre- plein du quai ...)

Repeindre les lignes blanches sur les rues et routes  ainsi que sur les passages pour piétons , afin d'améliorer la visibilité ...

Créer des parkings gratuits et sécurisés en ville . . ."
Des espaces verts, des espaces collectifs, des espaces apaisés;683 - Réduire la circulation rue Fond Pirette;9;5;"Rendons la Ville à ses habitants… Comme dans d´autres rues intérieures de Liège,  limiter la circulation dans la rue Fond Pirette aux résidents et la vitesse a 30km/heure sont deux initiatives qui tombent sous le sens. 

Cette rue comporte deux rétrécissements, un casse-vitesse, un parc, trois plaine de jeux et une centre d´animation de quartier. Pourtant il y passent encore tous les jours des olibrius qui conduisent à 70-80km/h, sans doute pour gratter deux secondes au feu rouge du bas de la rue de Campine. Qu´attend-on EXACTEMENT pour limiter la circulation et la vitesse ? Ah, oui, un accident grave sans doute. S´il vous plait: non!

Et ensuite, penchons nous sur deux autre idées:
- placer des bancs et des poubelles dans la rue. Est-il envisageable de le faire en obtenant la collaboration des personnes habitant à cette hauteur pour assurer, au moins en gros, l´entretien de cet espace?
- malgré les probèmes aigus de parking, est-il envisageable de planter des arbres le long des trottoirs ?"
Art, Culture, Patrimoine, Tourisme;690 - Des panneaux expliqaunt l'histoire de Liège;135;5;Il y a dejà des petites explications à certains endroits de la ville, mais je trouverais vraiment génial d'avoir beaucoup plus de panneaux dans les rues et devant les monuments reprenant la très riche histoire de la ville, si possible enrichie de photos anciennes ou autres. Le tout inclus dans un circuit de visite dont les cartes seraient disponibles chez les commerçants et à l'office du tourisme.
Des espaces verts, des espaces collectifs, des espaces apaisés;697- Améliorer l'apparence de la ville;28;2;"N°1 Réparer la facade des certains immeubles en ville.  
La ville de Liège  est l'un des plusieurs endroits turistiques en Belgique.
 Il serait mieux, si le gouvernement de la province  prenait soin de l'apparence de la ville. Ce serait agréable comme pour les visiteurs de la ville, ainsi pour les habitants. Que puissions-nous faire:
1) Colorer les immeubles en couleurs agéables.
2) Réparer l'incienne commune de la ville, elle a vraiment une apparence si laide.
3) Planter des fleurs sur les balcons pour la beauté de la ville.

N°2 Les déchets qui soient jetés partout en ville. Les gens, même les habitants de la ville ne respectent pas l'indroit de leur quotidien et préferent d'habiter autour des déchets.
Pour résoudre ce problème, que puission-nous faire:
1)Avoir l'amende administraive à la somme 100 euro.
2) Former une instance qui aurait pu contrôler l'état des rues surtout les rues centrales.
3) Ramasser les déchets jetés, au moins essayer de nettoyer un peu la ville.

N°3 Ce problème est concerné de la culture des gens qui habitent en ville ou près de la ville. Il est vraiment désagréable, quand  le jeune homme ou l'homme plus âgé,  qui gérent leurs besoins phisiques devant la "" publique "". Nous pourrions comprendre qu'on vive dans la société libre, mais il faut au moins avoir l'éduquation pour se retenir de tel actions. 
Que puissions-nous faire pour  résoudre ce problème : 
1) Le gouvernement de la province  devrait placer  les ""bio-toilettes"" dans la centre, dans  les zones, qui se situent tout près  la centre et s'il était possible partout.
2) Expliquer aux gens que ce soit mal fait, il faut se retenir des actions de tel type."
La mobilité;699- Site propre pour cyclistes et piétons du Val Benoit au Parc Reine Astrid;156;2;Du Val Benoit au Parc Reine Astrid, étendre l’aménagement réalisé au niveau de la passerelle La Belle-Liégeoise (site propre pour cyclistes et piétons, trottoirs rabaissés, passages pour piétons et cyclistes régulièrement répartis pour accéder aux quais) aux autres quais de la Meuse en rive Gauche. Avec aménagement de passerelles pour piétons et cyclistes sous les ponts si nécessaire. Finaliser de cette manière le RAVEL  Liège (de la passerelle La Belle-Liégeoise) -  Maastricht.
La mobilité;701-Finaliser le RAVEL Liège-Aachen;234;6;Finaliser le RAVEL Liège-Aachen (lignes 38 et 39), de la passerelle La Belle-Liégeoise jusqu’au départ du RAVEL ligne 38 juste après le pont du chemin de fer surplombant la Vesdre. Avec aménagement d’une passerelle sous Le pont de Fétinne en rive droite de l’Ourthe ensuite le RAVEL longe la rive droite jusqu’au pont de Belle-Ile, ensuite reprend le RAVEL existant en rive gauche de l’Ourthe, jusqu’à la passerelle qui traverse l’Ourthe au niveau du pont du chemin de fer et de la rue Denis Lecocq. Ensuite prolonger ce RAVEL en site propre le long de la voie de chemin de fer pour rejoindre le RAVEL ligne 38 juste après le pont du chemin de fer surplombant la Vesdre.
La végétalisation et l'agriculture urbaine;711-Des poumons pour le centre-ville;118;3;"Toutes ces propositions citoyenes m´ont donné envie de regarder Liège avec un peu de ¨recul¨…Sur google maps – satellite. Mon point de vue vaut ce qu´il vaut : jetez un oeil et décidez…
D´une part, le centre apparait hyperurbanisé, étouffant, et d´autre part dans un rayon de 500m à 2 km max, il y a d´énormes poumons verts (Oblat-Chartreuse-Bressous / Hovemont-Parc de la Paix-Citadelle-Tawes-Thier à Liege / Sart Tilman / Cointe/...). 
Alors de quoi nous plaignons nous ?

Simple, d´une part le centre lui-même manque cruellement d´espaces verts, conviviaux, inclusifs pour les enfants, les vieux, les handicapés et toute forme de loisir. L´habitat, la circulation automobile et le commerce y règnent. De là tant de demandes de réorganiser tout cela avec une absolue priorité pour aménager le moindre recoin disponible en coin utilisable ¨humainement¨, chaleureusement.

Je propose d´y ajouter de l´ambition :  ce que j´estime être des ratés urbanistiques absolus, tels la Place St Lambert, le Cadran ou les Guillemins, nous donnent cependant une énorme opportunité. Dans ces trois cas, ces chantiers ont dégagés de vastes espaces qui aujourd´hui sont bétonnés, inamicaux, froids et inutilisables. Au mieux des lieux de triste passage, sinon de triste commerce. Les transformer en vrais parcs arborés, avec des sentiers accessibles aussi aux caddies et chaises roulantes, des plaines de jeux et des buvettes changeraient la donne : convivialité, contrôle social ¨naturel¨, nature et présence de la population en dehors de l ´acte de consommation auquel la Ville s´est réduite (drôle de lieu de rencontre).

Pensez l´espace entre les Guillemins et la tour des finances comme VERT, avec ce qu´il faut d´accès et d´espaces d´attente pour tous les voyageurs mais aussi pour tous les habitants…
Et sans doute y-a-t-il d autres espaces auxquels je ne pense pas... Bavière par exemple !!!

Quant aux poumons verts périphériques : quid ? 
Je connais mieux la partie vers Ste Walburge et la raison semble simple : On a coupé le centre de sa périphérie avec d´immenses barrières urbanistiques qui ici s´appellent Cadran, Académie, Fontainebleau. Ce serait donc à cette logique, et ces infrastructures, qu´il faudrait s´attaquer. Et c´est ce que reflète un bon nombre de propositions. 
Le triangle qui part de la Place St Lambert, passe par l´horreur souterraine (pauvres employés !) de la gare du Palais( le nom!!), et va en s´élargissant vers St Marguerite , Fontainebleau pour mourir autour de St Joseph (tiens, un futur chancre ?) mérite une restructuration selon des normes très différentes de celles qui ont guidé sa conception d´¨autoroute urbaine¨. ujourd´hui, c est juste un goulot à embouteillages..

Pourrait-on dire la même chose de Cointe et de ¨son¨ infrastructure des Guillemins: barrage urbanistique ? 
Et qu en est-il du raccord ¨humain¨ aux autres poumons verts cités plus haut ?"
Inclusion sociale;729- Valoriser le bénévolat et l'entraide dans les quartiers;110;7;"ATELIER CITOYENS Angleur  - lundi 15 mai 

Valoriser et rendre visible les quartiers dynamiques où règne une 'entraide'.

Bienveillance entre tous.

Citoyens eux-mêmes acteurs de leur quartier.
 
Innovation des services et investissement.
Connaissance (partage intergénérationnel, ... etc...)"
Des espaces verts, des espaces collectifs, des espaces apaisés;736- Identité et visibilité des quartiers;23;4;"Renforcer l'identité des quartiers et accroître leurs visibilités

La ville de Liège a initié une dynamique intéressante au niveau de l’identité des quartiers de la ville, par exemple pour Outremeuse, Guillemins, Saint-Gilles, Carré, Droixhe… (http://www.synthese.be/travaux/identites-quartiers-commercants/ville-de-liege, http://www.liege.be/quartier/bressoux-droixhe/identite-du-quartier). 

L’initiative qui se veut Bottom-Up,  a été orientée vers les commerçants, néanmoins cela a permis de créer une identité visuelle pour ces quartiers. 

Une appropriation de cette identité par l’ensemble des acteurs en présence sur le terrain serait un bienfait dans le renforcement de l’image et la dynamique de quartier. Cela permettrait la création de liens entre habitants, commerçants, associations, etc. 

Par exemple, des blasons pourraient être créés et disposés dans les quartiers. Lors d’évènements locaux , des banderoles pourraient aussi égayer les espaces publics. 

En outre, quel meilleur ambassadeur de son quartier que celui qui y habite ? Les habitants lors des fêtes de quartiers ou tout autre évènement devraient disposer de kit à l’effigie de son quartier. 

Une appropriation locale est nécessaire… il faut capitaliser sur ce qui a été fait et renforcer la dynamique en cours."
Art, Culture, Patrimoine, Tourisme;741-Transformer cheminées géantes en street art;67;17;"celles de la centrale électrique des Aguesses, très visibles des trains. En faire des oeuvres de ""street art""."
Art, Culture, Patrimoine, Tourisme;754-Faire renaître le coeur  de la cathédrale en Hologramme au Tivoli;76;14;"L'aménagement du Tivoli est une arlésienne. 

Je propose donc une idée originale  qui permettrait de maintenir le site dans sa fonctionnalité actuelle (accueil ponctuel d'événements), tout en lui donnant un aspect novateur où le soir venu, la cathédrale renaîtra en image 3D.

L'attrait touristique de ce projet serait indéniable. 

Lors des événements, le système serait coupé, ainsi que la nuit pour respecter le voisinage."
